"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11887522/2020/5/28/2d329ec9-8c96-4fd2-98d6-32137f81d1e61590670387009BuckleUp1.jpg",sandals/buckleup/buckleup-men-tan-brown-comfort-sandals/11887522/buy,BuckleUp,Men Comfort Sandals,649
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/5/7/8c51bd13-16dd-45e6-9622-84a5185f6a3a1557174290844-1.jpg",heels/clarks/clarks-women-black-solid-leather-wedges/9492663/buy,Clarks,Women Leather Wedges,3499
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10120903/2019/9/14/a105f638-10d9-41b5-b160-b08ee194f5171568441461062-PANAHI-Men-White-Comfort-Sandals-9661568441460503-1.jpg",sandals/panahi/panahi-men-white-comfort-sandals/10120903/buy,PANAHI,Men Comfort Sandals,1199
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9751911/2019/11/19/646441c9-3656-4cd2-960d-68af3e77af281574150385221-CODE-by-Lifestyle-Women-Sandals-5811574150384241-1.jpg",heels/code-by-lifestyle/code-by-lifestyle-women-black-embellished-peep-toes/9751911/buy,CODE by Lifestyle,Women Embellished Peep Toes,999
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9752505/2019/11/19/1792bc0d-0346-4fbf-9c8a-4857c37e63311574150410399-Melange-by-Lifestyle-Women-Sandals-4391574150408954-1.jpg",flats/melange-by-lifestyle/melange-by-lifestyle-women-black-solid-open-toe-flats/9752505/buy,Melange by Lifestyle,Women Open Toe Flats,849
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10517066/2019/9/11/a6ba4ef9-4588-46fc-aecc-6ae77cfe00861568183114429-US-Polo-Assn-Men-Sandals-3661568183113452-1.jpg",sandals/us-polo-assn/us-polo-assn-men-black-moby-sandals/10517066/buy,U.S. Polo Assn.,Men MOBY Sandals,1919
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/8/7a8e2bc4-6fa9-49bb-8132-6591f81715b41573213077128-1.jpg",sandals/vardhra/vardhra-men-black-solid-leather-comfort-sandals/10949104/buy,Vardhra,Men Leather Comfort Sandals,1249
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/6/13/88064f35-ab65-420d-94c3-32e8c90a33881560427561720-1.jpg",flats/msc/msc-women-grey-solid-open-toe-flats/10035881/buy,MSC,Women Open Toe Flats,849
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10331717/2019/8/7/3678d837-589c-46c4-95dc-fbf55740942b1565158604055-US-Polo-Assn-Men-Brown-Sandals-951565158603568-1.jpg",sandals/us-polo-assn/us-polo-assn-men-brown-comfort-sandals/10331717/buy,U.S. Polo Assn.,Men Comfort Sandals,1605
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10029311/2019/6/17/66f2e707-45ab-409b-8891-9735014cb4121560750859821-Geox-Women-Sandals-4741560750859001-1.jpg",heels/geox/geox-women-black-solid-leather-wedges/10029311/buy,Geox,Women Solid Leather Wedges,3999
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/8/7/d908e33e-2f6d-4180-a529-599a3fa75f771565201244988-1.jpg",sandals/puma/puma-men-grey-sandals/10412514/buy,Puma,Men Sandals,1199
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/4/6/40b8aba7-81d3-40f2-82aa-979063251c9b1554498201260-1.jpg",sandals/fentacia/fentacia-men-beige-shoe-style-sandals/9221441/buy,Fentacia,Men Shoe-Style Sandals,1319
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/1/19/ebfd2800-1585-4eef-bf6a-53526a604c881547882424451-1.jpg",sandals/franco-leone/franco-leone-men-tan-brown-comfort-leather-sandals/8555831/buy,Franco Leone,Men Comfort Sandals,1158
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/9/926f8dcc-0178-4e26-b0c3-e529b6ea0cdf1575845002405-1.jpg",sandals/vardhra/vardhra-men-brown-sandals/11138580/buy,Vardhra,Men Sandals,1247
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10999546/2019/12/3/32a37a8a-8c9a-4e77-bb30-b02564c0cf751575368077491-Sole-To-Soul-Women-Sandals-3141575368076157-1.jpg",heels/sole-to-soul/sole-to-soul-women-black--gunmetal-toned-colourblocked-block-heels/10999546/buy,Sole To Soul,Women Block Heels,2792
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/10/23/bd474a02-50bd-4647-9e63-83d94d8df4801571779269293-1.jpg",heels/stride/stride-women-beige-laser-cut-detail-heels/10857028/buy,Stride,Women Laser Cut Detail Heels,1359
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/7/18/29fea42e-22b9-4770-9192-6a58e51b4b901563430132526-1.jpg",sandals/campus/campus-men-sd-pf016-brown-sports-sandals/10288895/buy,Campus,Men Sandals,949
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10999552/2019/12/3/ffee48dc-f5ce-45a9-be2c-dd406cea2f191575368135372-Sole-To-Soul-Women-Sandals-2591575368133108-1.jpg",heels/sole-to-soul/sole-to-soul-women-peach-coloured-embellished-heels/10999552/buy,Sole To Soul,Women heels,1752
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/8/cf5bc109-b579-42ba-99b1-04391defc8721573202205044-1.jpg",sandals/scentra/scentra-men-black-comfort-sandals/10949086/buy,SCENTRA,Men Comfort Sandals,1199
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10999554/2019/12/3/e001d7ee-b31e-4ff7-8c04-73f6bb35fcf81575368154893-Sole-To-Soul-Women-Sandals-1021575368153014-1.jpg",heels/sole-to-soul/sole-to-soul-women-gold-toned-embellished-heels/10999554/buy,Sole To Soul,Women Heels,1752
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11089748/2019/12/10/982a71df-552b-43ef-9890-e1c5f1fcb21d1575979219736-Frozen-Girls-Blue-Sandals-4711575979218450-1.jpg",flats/frozen/frozen-girls-blue-solid-open-toe-flats/11089748/buy,Frozen,Girls Solid Open Toe Flats,719
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/8/23/cb7a0175-298b-4605-81f4-d8f11757567b1566557917692-1.jpg",sandals/mactree/mactree-men-brown-sandals/10505808/buy,Mactree,Men Sandals,874
